"","Date","Date_Exposed","DAE","Pool","Pool_Endo","Group","Endophyte","Distance","Plant","Leaf","Dam","Rhiz","Coll","Pucc","Sept"
"249","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",36,240,4,"ND",0,0,0,0
"250","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",36,240,5,"ND",0,0,0,0
"251","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",36,240,6,"ND",0,0,0,0
"252","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",36,240,7,"ND",0,0,0,0
"253","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",36,177,1,"D",0,1,0,0
"254","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",36,177,2,"ND",0,0,0,0
"255","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",36,177,3,"ND",0,0,0,0
"256","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",36,177,4,"ND",0,0,0,0
"257","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",36,177,5,"ND",0,0,0,0
"258","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",36,177,6,"ND",0,0,0,0
"259","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",36,177,7,"ND",0,0,0,0
"260","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",36,273,1,"D",0,1,0,0
"261","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",36,273,2,"ND",0,0,0,0
"262","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",36,273,3,"ND",0,0,0,0
"263","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",36,273,4,"ND",0,0,0,0
"264","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",36,273,5,"ND",0,0,0,0
"265","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",36,273,6,"ND",0,0,0,0
"266","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",36,273,7,"ND",0,0,0,0
"267","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",36,277,1,"ND",0,0,0,0
"268","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",36,277,2,"ND",0,0,0,0
"269","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",36,277,3,"ND",0,0,0,0
"270","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",36,277,4,"ND",0,0,0,0
"271","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",36,277,5,"ND",0,0,0,0
"272","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",36,277,6,"ND",0,0,0,0
"273","8/14/18","8/10/18",4,3,"Endo_Inoc","Exp","Inoculated",36,277,7,"ND",0,0,0,0
"456","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",0,458,1,"D",1,0,0,0
"457","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",0,458,2,"D",1,0,0,0
"458","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",0,458,3,"ND",0,0,0,0
"459","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",0,458,4,"ND",0,0,0,0
"460","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",0,458,5,"ND",0,0,0,0
"461","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",0,458,6,"ND",0,0,0,0
"462","8/14/18","8/10/18",4,6,"Endo_Free","Exp","Free",0,458,7,"ND",0,0,0,0
